fanId,username,passwordHash,fullName,email,phone,fanType,status
FAN0057,quanvn57,hash_pass_quanvn57,Ngo Van Quan,quanvn57@gmail.com,0967896410,GOLD,ACTIVE
FAN0058,vietgd58,hash_pass_vietgd58,Dang Gia Viet,vietgd58@gmail.com,0947674590,STANDARD,ACTIVE
FAN0059,antv59,hash_pass_antv59,Vu Tuan An,antv59@gmail.com,0965814507,STANDARD,ACTIVE
FAN0060,khoatp60,hash_pass_khoatp60,Pham Tuan Khoa,khoatp60@gmail.com,0901563993,GOLD,ACTIVE
FAN0061,vietdt61,hash_pass_vietdt61,Tran Duc Viet,vietdt61@gmail.com,0946455960,SILVER,ACTIVE
FAN0062,antt62,hash_pass_antt62,Tran Thi An,antt62@gmail.com,0957160352,STANDARD,ACTIVE
FAN0063,huyql63,hash_pass_huyql63,Le Quoc Huy,huyql63@gmail.com,0971999243,VIP,ACTIVE
FAN0064,huytd64,hash_pass_huytd64,Dang Thi Huy,huytd64@gmail.com,0972676800,SILVER,ACTIVE
FAN0065,hungdt65,hash_pass_hungdt65,Tran Duc Hung,hungdt65@gmail.com,0908818688,STANDARD,ACTIVE
FAN0066,linhtp66,hash_pass_linhtp66,Phan Thanh Linh,linhtp66@gmail.com,0975560302,STANDARD,ACTIVE
FAN0067,antp67,hash_pass_antp67,Phan Thanh An,antp67@gmail.com,0929975036,VIP,ACTIVE
FAN0068,phuctt68,hash_pass_phuctt68,Tran Thi Phuc,phuctt68@gmail.com,0978625386,GOLD,ACTIVE
FAN0069,emmv69,hash_pass_emmv69,Vu Minh Em,emmv69@gmail.com,0984340011,VIP,ACTIVE
FAN0070,giangxh70,hash_pass_giangxh70,Ho Xuan Giang,giangxh70@gmail.com,0935470518,GOLD,ACTIVE
FAN0071,emxt71,hash_pass_emxt71,Tran Xuan Em,emxt71@gmail.com,0993812860,VIP,ACTIVE
FAN0072,binhgh72,hash_pass_binhgh72,Ho Gia Binh,binhgh72@gmail.com,0962493732,VIP,ACTIVE
FAN0073,dungvp73,hash_pass_dungvp73,Phan Van Dung,dungvp73@gmail.com,0938529856,SILVER,ACTIVE
FAN0074,linhdp74,hash_pass_linhdp74,Phan Duc Linh,linhdp74@gmail.com,0981408380,SILVER,ACTIVE
FAN0075,vietnd75,hash_pass_vietnd75,Do Ngoc Viet,vietnd75@gmail.com,0900636852,SILVER,ACTIVE
FAN0076,sondt76,hash_pass_sondt76,Tran Duy Son,sondt76@gmail.com,0968323588,STANDARD,ACTIVE
FAN0077,dungvb77,hash_pass_dungvb77,Bui Van Dung,dungvb77@gmail.com,0917314802,GOLD,ACTIVE
FAN0078,chautb78,hash_pass_chautb78,Bui Thi Chau,chautb78@gmail.com,0944717950,GOLD,ACTIVE
FAN0079,huytp79,hash_pass_huytp79,Phan Tuan Huy,huytp79@gmail.com,0911278717,GOLD,ACTIVE
FAN0080,hungqn80,hash_pass_hungqn80,Nguyen Quoc Hung,hungqn80@gmail.com,0968830077,STANDARD,ACTIVE
FAN0081,namnn81,hash_pass_namnn81,Ngo Ngoc Nam,namnn81@gmail.com,0979773968,VIP,ACTIVE
FAN0082,giangnv82,hash_pass_giangnv82,Vu Ngoc Giang,giangnv82@gmail.com,0901932431,GOLD,ACTIVE
FAN0083,binhqn83,hash_pass_binhqn83,Nguyen Quoc Binh,binhqn83@gmail.com,0929002108,STANDARD,ACTIVE
FAN0084,phucdt84,hash_pass_phucdt84,Tran Duy Phuc,phucdt84@gmail.com,0977497848,GOLD,ACTIVE
FAN0085,namdp85,hash_pass_namdp85,Pham Duy Nam,namdp85@gmail.com,0927916447,SILVER,ACTIVE
FAN0086,quanxv86,hash_pass_quanxv86,Vu Xuan Quan,quanxv86@gmail.com,0904424969,GOLD,ACTIVE
FAN0087,huynh87,hash_pass_huynh87,Hoang Ngoc Huy,huynh87@gmail.com,0973212379,VIP,ACTIVE
FAN0088,khoagb88,hash_pass_khoagb88,Bui Gia Khoa,khoagb88@gmail.com,0915109438,GOLD,ACTIVE
FAN0089,namdp89,hash_pass_namdp89,Phan Duc Nam,namdp89@gmail.com,0940708652,VIP,ACTIVE
FAN0090,huydd90,hash_pass_huydd90,Do Duc Huy,huydd90@gmail.com,0905153678,VIP,ACTIVE
FAN0091,quantl91,hash_pass_quantl91,Le Thanh Quan,quantl91@gmail.com,0936012864,VIP,ACTIVE
FAN0092,linhth92,hash_pass_linhth92,Ho Thi Linh,linhth92@gmail.com,0931924467,STANDARD,ACTIVE
FAN0093,dungvp93,hash_pass_dungvp93,Pham Van Dung,dungvp93@gmail.com,0998138543,VIP,ACTIVE
FAN0094,namdp94,hash_pass_namdp94,Pham Duc Nam,namdp94@gmail.com,0976751517,VIP,ACTIVE
FAN0095,khoadn95,hash_pass_khoadn95,Nguyen Duy Khoa,khoadn95@gmail.com,0946915480,VIP,ACTIVE
FAN0096,khoand96,hash_pass_khoand96,Do Ngoc Khoa,khoand96@gmail.com,0941677098,SILVER,ACTIVE
FAN0097,phucdb97,hash_pass_phucdb97,Bui Duc Phuc,phucdb97@gmail.com,0982294786,VIP,ACTIVE
FAN0098,linhtn98,hash_pass_linhtn98,Nguyen Thi Linh,linhtn98@gmail.com,0966417047,GOLD,ACTIVE
FAN0099,phucth99,hash_pass_phucth99,Hoang Thi Phuc,phucth99@gmail.com,0991869074,VIP,ACTIVE
FAN0100,khoamh100,hash_pass_khoamh100,Hoang Minh Khoa,khoamh100@gmail.com,0921762676,STANDARD,ACTIVE
FAN0101,linhdn101,hash_pass_linhdn101,Ngo Duy Linh,linhdn101@gmail.com,0950676778,STANDARD,ACTIVE
FAN0102,hungnb102,hash_pass_hungnb102,Bui Ngoc Hung,hungnb102@gmail.com,0928219233,VIP,ACTIVE
FAN0103,phucth103,hash_pass_phucth103,Ho Thi Phuc,phucth103@gmail.com,0989018685,SILVER,ACTIVE
FAN0104,khoatn104,hash_pass_khoatn104,Nguyen Tuan Khoa,khoatn104@gmail.com,0988594834,VIP,ACTIVE
FAN0105,emmp105,hash_pass_emmp105,Pham Minh Em,emmp105@gmail.com,0927785667,GOLD,ACTIVE
FAN0106,sondv106,hash_pass_sondv106,Vu Duc Son,sondv106@gmail.com,0998423974,SILVER,ACTIVE
FAN0107,dungnh107,hash_pass_dungnh107,Ho Ngoc Dung,dungnh107@gmail.com,0950566590,VIP,ACTIVE
FAN0108,linhmt108,hash_pass_linhmt108,Tran Minh Linh,linhmt108@gmail.com,0962477001,SILVER,ACTIVE
FAN0109,phucdl109,hash_pass_phucdl109,Le Duy Phuc,phucdl109@gmail.com,0937569674,GOLD,ACTIVE
FAN0110,huyxb110,hash_pass_huyxb110,Bui Xuan Huy,huyxb110@gmail.com,0904087480,STANDARD,ACTIVE
FAN0111,namdh111,hash_pass_namdh111,Hoang Duy Nam,namdh111@gmail.com,0950294314,STANDARD,ACTIVE
FAN0112,tungtd112,hash_pass_tungtd112,Dang Tuan Tung,tungtd112@gmail.com,0933941969,STANDARD,ACTIVE
FAN0113,hungth113,hash_pass_hungth113,Hoang Thi Hung,hungth113@gmail.com,0906243588,STANDARD,ACTIVE
FAN0114,huygd114,hash_pass_huygd114,Do Gia Huy,huygd114@gmail.com,0908525842,GOLD,ACTIVE
FAN0115,angp115,hash_pass_angp115,Phan Gia An,angp115@gmail.com,0911760514,GOLD,ACTIVE
FAN0116,annn116,hash_pass_annn116,Ngo Ngoc An,annn116@gmail.com,0911992170,STANDARD,ACTIVE
FAN0117,chaudn117,hash_pass_chaudn117,Ngo Duy Chau,chaudn117@gmail.com,0992410956,STANDARD,ACTIVE
FAN0118,giangth118,hash_pass_giangth118,Ho Tuan Giang,giangth118@gmail.com,0916651645,GOLD,ACTIVE
FAN0119,sonvn119,hash_pass_sonvn119,Ngo Van Son,sonvn119@gmail.com,0961741262,VIP,ACTIVE
FAN0120,huyxl120,hash_pass_huyxl120,Le Xuan Huy,huyxl120@gmail.com,0937733259,SILVER,ACTIVE
FAN0121,huytp121,hash_pass_huytp121,Phan Thi Huy,huytp121@gmail.com,0945661435,STANDARD,ACTIVE
FAN0122,khoadl122,hash_pass_khoadl122,Le Duc Khoa,khoadl122@gmail.com,0912666829,STANDARD,ACTIVE
FAN0123,chautp123,hash_pass_chautp123,Phan Thi Chau,chautp123@gmail.com,0990491473,GOLD,ACTIVE
FAN0124,phucht124,hash_pass_phucht124,Tran Hai Phuc,phucht124@gmail.com,0932675128,SILVER,ACTIVE
FAN0125,binhth125,hash_pass_binhth125,Ho Thi Binh,binhth125@gmail.com,0996565553,VIP,ACTIVE
FAN0126,chautp126,hash_pass_chautp126,Phan Thanh Chau,chautp126@gmail.com,0914112838,VIP,ACTIVE
FAN0127,huydh127,hash_pass_huydh127,Ho Duc Huy,huydh127@gmail.com,0984098794,VIP,ACTIVE
FAN0128,anvn128,hash_pass_anvn128,Ngo Van An,anvn128@gmail.com,0947774959,SILVER,ACTIVE
FAN0129,gianghh129,hash_pass_gianghh129,Hoang Hai Giang,gianghh129@gmail.com,0918551233,GOLD,ACTIVE
FAN0130,hungnn130,hash_pass_hungnn130,Nguyen Ngoc Hung,hungnn130@gmail.com,0971963040,VIP,ACTIVE
FAN0131,dungdb131,hash_pass_dungdb131,Bui Duy Dung,dungdb131@gmail.com,0946643084,GOLD,ACTIVE
FAN0132,namtt132,hash_pass_namtt132,Tran Tuan Nam,namtt132@gmail.com,0910575806,GOLD,ACTIVE
FAN0133,vietdp133,hash_pass_vietdp133,Phan Duy Viet,vietdp133@gmail.com,0920885370,VIP,ACTIVE
FAN0134,khoaqd134,hash_pass_khoaqd134,Dang Quoc Khoa,khoaqd134@gmail.com,0989207461,GOLD,ACTIVE
FAN0135,dungtn135,hash_pass_dungtn135,Ngo Tuan Dung,dungtn135@gmail.com,0933289428,SILVER,ACTIVE
FAN0136,linhtp136,hash_pass_linhtp136,Pham Tuan Linh,linhtp136@gmail.com,0951171061,SILVER,ACTIVE
FAN0137,phucnd137,hash_pass_phucnd137,Dang Ngoc Phuc,phucnd137@gmail.com,0997826192,SILVER,ACTIVE
FAN0138,giangtt138,hash_pass_giangtt138,Tran Thi Giang,giangtt138@gmail.com,0937500531,SILVER,ACTIVE
FAN0139,huygn139,hash_pass_huygn139,Nguyen Gia Huy,huygn139@gmail.com,0937306056,GOLD,ACTIVE
FAN0140,quandp140,hash_pass_quandp140,Phan Duc Quan,quandp140@gmail.com,0974921587,GOLD,ACTIVE
FAN0141,hungtp141,hash_pass_hungtp141,Pham Thi Hung,hungtp141@gmail.com,0970154281,VIP,ACTIVE
FAN0142,namqn142,hash_pass_namqn142,Nguyen Quoc Nam,namqn142@gmail.com,0925797218,GOLD,ACTIVE
FAN0143,hungmd143,hash_pass_hungmd143,Do Minh Hung,hungmd143@gmail.com,0966071471,STANDARD,ACTIVE
FAN0144,namtp144,hash_pass_namtp144,Phan Thanh Nam,namtp144@gmail.com,0995947935,STANDARD,ACTIVE
FAN0145,chautt145,hash_pass_chautt145,Tran Thi Chau,chautt145@gmail.com,0906421508,GOLD,ACTIVE
FAN0146,dungvb146,hash_pass_dungvb146,Bui Van Dung,dungvb146@gmail.com,0990055555,GOLD,ACTIVE
FAN0147,sondn147,hash_pass_sondn147,Nguyen Duy Son,sondn147@gmail.com,0934110732,GOLD,ACTIVE
FAN0148,huygb148,hash_pass_huygb148,Bui Gia Huy,huygb148@gmail.com,0926473974,GOLD,ACTIVE
FAN0149,giangth149,hash_pass_giangth149,Hoang Tuan Giang,giangth149@gmail.com,0922328388,VIP,ACTIVE
FAN0150,huyxh150,hash_pass_huyxh150,Ho Xuan Huy,huyxh150@gmail.com,0919138754,VIP,ACTIVE
FAN0151,emth151,hash_pass_emth151,Hoang Tuan Em,emth151@gmail.com,0941575349,VIP,ACTIVE
FAN0152,huyxd152,hash_pass_huyxd152,Dang Xuan Huy,huyxd152@gmail.com,0996535099,STANDARD,ACTIVE
FAN0153,dungxp153,hash_pass_dungxp153,Pham Xuan Dung,dungxp153@gmail.com,0947606364,STANDARD,ACTIVE
FAN0154,chaudn154,hash_pass_chaudn154,Ngo Duy Chau,chaudn154@gmail.com,0906802601,STANDARD,ACTIVE
FAN0155,hungmd155,hash_pass_hungmd155,Dang Minh Hung,hungmd155@gmail.com,0992870929,GOLD,ACTIVE
FAN0156,phucxd156,hash_pass_phucxd156,Dang Xuan Phuc,phucxd156@gmail.com,0984787536,GOLD,ACTIVE
FAN0157,vietdl157,hash_pass_vietdl157,Le Duc Viet,vietdl157@gmail.com,0969569299,STANDARD,ACTIVE
FAN0158,viettb158,hash_pass_viettb158,Bui Thanh Viet,viettb158@gmail.com,0905040066,SILVER,ACTIVE
FAN0159,vietth159,hash_pass_vietth159,Ho Tuan Viet,vietth159@gmail.com,0964096367,GOLD,ACTIVE
FAN0160,linhdv160,hash_pass_linhdv160,Vu Duc Linh,linhdv160@gmail.com,0986650271,GOLD,ACTIVE
FAN0161,khoath161,hash_pass_khoath161,Ho Tuan Khoa,khoath161@gmail.com,0941003191,SILVER,ACTIVE
FAN0162,dunghn162,hash_pass_dunghn162,Nguyen Hai Dung,dunghn162@gmail.com,0963116441,GOLD,ACTIVE
FAN0163,tungdl163,hash_pass_tungdl163,Le Duc Tung,tungdl163@gmail.com,0925111682,STANDARD,ACTIVE
FAN0164,emgh164,hash_pass_emgh164,Ho Gia Em,emgh164@gmail.com,0923980853,GOLD,ACTIVE
FAN0165,linhhp165,hash_pass_linhhp165,Phan Hai Linh,linhhp165@gmail.com,0917342815,STANDARD,ACTIVE
FAN0166,sonth166,hash_pass_sonth166,Hoang Tuan Son,sonth166@gmail.com,0900909148,SILVER,ACTIVE
FAN0167,linhtt167,hash_pass_linhtt167,Tran Tuan Linh,linhtt167@gmail.com,0982613241,STANDARD,ACTIVE
FAN0168,anht168,hash_pass_anht168,Tran Hai An,anht168@gmail.com,0900056172,GOLD,ACTIVE
FAN0169,huyxn169,hash_pass_huyxn169,Ngo Xuan Huy,huyxn169@gmail.com,0977275480,SILVER,ACTIVE
FAN0170,sondh170,hash_pass_sondh170,Hoang Duy Son,sondh170@gmail.com,0930896160,VIP,ACTIVE
FAN0171,emtl171,hash_pass_emtl171,Le Tuan Em,emtl171@gmail.com,0959743291,VIP,ACTIVE
FAN0172,linhmh172,hash_pass_linhmh172,Ho Minh Linh,linhmh172@gmail.com,0994402371,VIP,ACTIVE
FAN0173,namdn173,hash_pass_namdn173,Nguyen Duc Nam,namdn173@gmail.com,0938140850,STANDARD,ACTIVE
FAN0174,quantd174,hash_pass_quantd174,Dang Thanh Quan,quantd174@gmail.com,0966958529,SILVER,ACTIVE
FAN0175,huygh175,hash_pass_huygh175,Ho Gia Huy,huygh175@gmail.com,0996197697,STANDARD,ACTIVE
FAN0176,chaugv176,hash_pass_chaugv176,Vu Gia Chau,chaugv176@gmail.com,0925089099,VIP,ACTIVE
FAN0177,namdv177,hash_pass_namdv177,Vu Duy Nam,namdv177@gmail.com,0967862756,VIP,ACTIVE
FAN0178,hunggl178,hash_pass_hunggl178,Le Gia Hung,hunggl178@gmail.com,0926715492,VIP,ACTIVE
FAN0179,quangd179,hash_pass_quangd179,Dang Gia Quan,quangd179@gmail.com,0914273164,STANDARD,ACTIVE
FAN0180,giangxh180,hash_pass_giangxh180,Ho Xuan Giang,giangxh180@gmail.com,0961623104,SILVER,ACTIVE
FAN0181,linhdd181,hash_pass_linhdd181,Do Duc Linh,linhdd181@gmail.com,0928038555,VIP,ACTIVE
FAN0182,phuchp182,hash_pass_phuchp182,Phan Hai Phuc,phuchp182@gmail.com,0968743836,STANDARD,ACTIVE
FAN0183,huydd183,hash_pass_huydd183,Dang Duc Huy,huydd183@gmail.com,0910371398,VIP,ACTIVE
FAN0184,linhmp184,hash_pass_linhmp184,Phan Minh Linh,linhmp184@gmail.com,0940715827,VIP,ACTIVE
FAN0185,khoaqp185,hash_pass_khoaqp185,Phan Quoc Khoa,khoaqp185@gmail.com,0973753505,SILVER,ACTIVE
FAN0186,giangnv186,hash_pass_giangnv186,Vu Ngoc Giang,giangnv186@gmail.com,0999221544,GOLD,ACTIVE
FAN0187,giangmh187,hash_pass_giangmh187,Ho Minh Giang,giangmh187@gmail.com,0937110901,STANDARD,ACTIVE
FAN0188,phucxb188,hash_pass_phucxb188,Bui Xuan Phuc,phucxb188@gmail.com,0996440672,STANDARD,ACTIVE
FAN0189,vietqh189,hash_pass_vietqh189,Hoang Quoc Viet,vietqh189@gmail.com,0911015145,SILVER,ACTIVE
FAN0190,huyxn190,hash_pass_huyxn190,Nguyen Xuan Huy,huyxn190@gmail.com,0900857429,GOLD,ACTIVE
FAN0191,emtd191,hash_pass_emtd191,Do Thanh Em,emtd191@gmail.com,0914120282,VIP,ACTIVE
FAN0192,gianghl192,hash_pass_gianghl192,Le Hai Giang,gianghl192@gmail.com,0953780384,GOLD,ACTIVE
FAN0193,binhnn193,hash_pass_binhnn193,Ngo Ngoc Binh,binhnn193@gmail.com,0927854775,GOLD,ACTIVE
FAN0194,linhdn194,hash_pass_linhdn194,Nguyen Duc Linh,linhdn194@gmail.com,0967360005,VIP,ACTIVE
FAN0195,tungtb195,hash_pass_tungtb195,Bui Thanh Tung,tungtb195@gmail.com,0999837929,GOLD,ACTIVE
FAN0196,namxn196,hash_pass_namxn196,Ngo Xuan Nam,namxn196@gmail.com,0909969788,STANDARD,ACTIVE
FAN0197,namnn197,hash_pass_namnn197,Nguyen Ngoc Nam,namnn197@gmail.com,0986276076,VIP,ACTIVE
FAN0198,chauqb198,hash_pass_chauqb198,Bui Quoc Chau,chauqb198@gmail.com,0984465227,SILVER,ACTIVE
FAN0199,dungtv199,hash_pass_dungtv199,Vu Thanh Dung,dungtv199@gmail.com,0917099361,GOLD,ACTIVE
FAN0200,phucqn200,hash_pass_phucqn200,Nguyen Quoc Phuc,phucqn200@gmail.com,0990594780,GOLD,ACTIVE
FAN0201,tungvh201,hash_pass_tungvh201,Ho Van Tung,tungvh201@gmail.com,0973319536,GOLD,ACTIVE
FAN0202,huynn202,hash_pass_huynn202,Ngo Ngoc Huy,huynn202@gmail.com,0985213105,VIP,ACTIVE
FAN0203,giangdb203,hash_pass_giangdb203,Bui Duc Giang,giangdb203@gmail.com,0938787596,STANDARD,ACTIVE
FAN0204,emvb204,hash_pass_emvb204,Bui Van Em,emvb204@gmail.com,0964364635,SILVER,ACTIVE
FAN0205,linhnn205,hash_pass_linhnn205,Nguyen Ngoc Linh,linhnn205@gmail.com,0977027257,VIP,ACTIVE
FAN0206,phucgt206,hash_pass_phucgt206,Tran Gia Phuc,phucgt206@gmail.com,0955918872,GOLD,ACTIVE
FAN0207,giangvn207,hash_pass_giangvn207,Nguyen Van Giang,giangvn207@gmail.com,0942041874,STANDARD,ACTIVE
FAN0208,phucxv208,hash_pass_phucxv208,Vu Xuan Phuc,phucxv208@gmail.com,0997510202,SILVER,ACTIVE
FAN0209,chaugd209,hash_pass_chaugd209,Dang Gia Chau,chaugd209@gmail.com,0977518969,STANDARD,ACTIVE
FAN0210,giangdd210,hash_pass_giangdd210,Do Duc Giang,giangdd210@gmail.com,0947228219,GOLD,ACTIVE
FAN0211,viettb211,hash_pass_viettb211,Bui Thanh Viet,viettb211@gmail.com,0931496822,VIP,ACTIVE
FAN0212,anhp212,hash_pass_anhp212,Pham Hai An,anhp212@gmail.com,0934653933,VIP,ACTIVE
FAN0213,linhdd213,hash_pass_linhdd213,Dang Duy Linh,linhdd213@gmail.com,0919193445,GOLD,ACTIVE
FAN0214,namhp214,hash_pass_namhp214,Phan Hai Nam,namhp214@gmail.com,0977018320,GOLD,ACTIVE
FAN0215,hunggb215,hash_pass_hunggb215,Bui Gia Hung,hunggb215@gmail.com,0938494515,VIP,ACTIVE
FAN0216,huyhb216,hash_pass_huyhb216,Bui Hai Huy,huyhb216@gmail.com,0977194069,VIP,ACTIVE
FAN0217,phucqd217,hash_pass_phucqd217,Do Quoc Phuc,phucqd217@gmail.com,0937477152,GOLD,ACTIVE
FAN0218,chaudd218,hash_pass_chaudd218,Dang Duy Chau,chaudd218@gmail.com,0971645004,GOLD,ACTIVE
FAN0219,khoadb219,hash_pass_khoadb219,Bui Duc Khoa,khoadb219@gmail.com,0965022832,VIP,ACTIVE
FAN0220,linhtn220,hash_pass_linhtn220,Nguyen Thi Linh,linhtn220@gmail.com,0922563211,SILVER,ACTIVE
FAN0221,namdh221,hash_pass_namdh221,Hoang Duy Nam,namdh221@gmail.com,0977532230,VIP,ACTIVE
FAN0222,sontt222,hash_pass_sontt222,Tran Thi Son,sontt222@gmail.com,0929480258,SILVER,ACTIVE
FAN0223,chautn223,hash_pass_chautn223,Ngo Tuan Chau,chautn223@gmail.com,0942955487,VIP,ACTIVE
FAN0224,quanqn224,hash_pass_quanqn224,Nguyen Quoc Quan,quanqn224@gmail.com,0923692629,GOLD,ACTIVE
